Id,Country,CountryCode,GDP,Homicides,Suicides,Guns per 100,Cultural.Diversity.Index,Continent,latitude,longitude,Developed
1,Argentina,Arg,20700,2.58,1.57,4.6,0,LATIN AMER. & CARIB    ,-38.416097,-63.616672,No
2,Australia,Aus,49900,0.16,0.76,24.1,0.147,OCEANIA                            ,-25.274398,133.775136,Yes
3,Austria,Aus,49200,0.1,2.43,30.4,0.1,WESTERN EUROPE                     ,47.516231,14.550072,Yes
4,Azerbaijan,Aze,17400,0.27,0.01,3.5,0.187,C.W. OF IND. STATES ,40.143105,47.576927,No
5,Barbados,Bar,17500,3.12,1.0575,7.8,0.22458,LATIN AMER. & CARIB    ,13.193887,-59.543198,No
6,Belarus,Bel,18600,0.14,1.0575,7.3,0.228,C.W. OF IND. STATES ,53.709807,27.953389,No
7,Belgium,Bel,46300,0.33,1.33,1.33,0.462,WESTERN EUROPE                     ,50.503887,4.469936,Yes
8,Bolivia,Bol,7500,0.74,1.0575,2.8,0.662,LATIN AMER. & CARIB    ,-16.290154,-63.588653,No
9,Brazil,Bra,15500,19.99,0.45,8,0.02,LATIN AMER. & CARIB    ,-14.235004,-51.92528,No
10,Bulgaria,Bul,21600,0.34,0.97,6.2,0.25,EASTERN EUROPE                     ,42.733883,25.48583,Yes
11,Canada,Can,48100,0.38,1.52,30.8,0.499,NORTHERN AMERICA                   ,56.130366,-106.346771,Yes
12,Chile,Chi,24600,1.02,0.81,10.7,0.167,LATIN AMER. & CARIB    ,-35.675147,-71.542969,No
13,China,chn,16600,4.8512,1.0575,4.9,0.154,ASIA (EX. NEAR EAST)         ,35.86166,104.195397,No
14,Colombia,Col,4000,23.93,0.87,5.9,0.02,LATIN AMER. & CARIB    ,4.570868,-74.297333,No
15,Costa Rica,Cos,17200,5.92,1.27,9.9,0.078,LATIN AMER. & CARIB    ,9.748917,-83.753428,No
16,Croatia,Cro,24100,0.4,2.37,21.7,0.185,EASTERN EUROPE                     ,45.1,15.2,Yes
17,Cuba,Cub,11900,0.2,0.3,4.8,0.02,LATIN AMER. & CARIB    ,21.521757,-77.781167,No
18,Cyprus,Cyp,36600,1.05,0.58,36.4,0.359,NEAR EAST                          ,35.126413,33.429859,Yes
19,Czech Republic,Cze,35200,0.15,1.66,16.3,0.064,EASTERN EUROPE                     ,49.817492,15.472962,No
20,Denmark,Den,49600,0.22,1.09,12,0.128,WESTERN EUROPE                     ,56.26392,9.501785,Yes
21,El Salvador,El ,8900,26.49,0.13,5.8,0.18,LATIN AMER. & CARIB    ,13.794185,-88.89653,No
22,Estonia,Est,31500,0.15,2.11,9.2,0.492,BALTICS                            ,58.595272,25.013607,Yes
23,Finland,Fin,44000,0.32,2.94,27.3,0.132,WESTERN EUROPE                     ,61.92411,25.748151,Yes
24,France,Fra,43600,0.21,2.16,31.2,0.251,WESTERN EUROPE                     ,46.227638,2.213749,Yes
25,Georgia,Geo,10600,0.49,0.09,7.3,0.404,C.W. OF IND. STATES ,42.315407,43.356892,No
26,Germany,Ger,50200,0.07,0.84,30.3,0.09,WESTERN EUROPE                     ,51.165691,10.451526,Yes
27,Greece,Gre,27800,0.53,0.86,22.5,0.05,WESTERN EUROPE                     ,39.074208,21.824312,Yes
28,Guatemala,Gua,8200,29.62,0.34,13.1,0.493,LATIN AMER. & CARIB    ,15.783471,-90.230759,No
29,Honduras,Hon,5500,66.64,0.41,6.2,0.167,LATIN AMER. & CARIB    ,15.199999,-86.241905,No
30,Hong Kong,Hon,61000,0,0.03,14.61767,0.22458,ASIA (EX. NEAR EAST)         ,22.396428,114.109497,No
31,Hungary,Hun,28900,0.11,0.81,5.5,0.185,EASTERN EUROPE                     ,47.162494,19.503304,Yes
32,Iceland,Ice,52100,0,1.25,30.3,0.22458,WESTERN EUROPE                     ,64.963051,-19.020835,Yes
33,India,Ind,7200,0.3,0.14,4.2,0.667,ASIA (EX. NEAR EAST)         ,20.593684,78.96288,No
34,Ireland,Ire,72600,0.25,0.28,4.3,0.157,WESTERN EUROPE                     ,53.41291,-8.24389,Yes
35,Israel,Isr,36200,1.04,0.67,7.3,0.033,NEAR EAST                          ,31.046051,34.851612,No
36,Italy,Ita,38000,0.35,0.87,11.9,0.04,WESTERN EUROPE                     ,41.87194,12.56738,Yes
37,Jamaica,Jam,9200,30.38,0.34,8.1,0.027,LATIN AMER. & CARIB    ,18.109581,-77.297508,No
38,Japan,Jap,42700,0,0.04,0.6,0.012,ASIA (EX. NEAR EAST)         ,36.204824,138.252924,Yes
39,Kuwait,Kuw,69700,0.36,0,24.8,0.54,NEAR EAST                          ,29.31166,47.481766,No
40,Kyrgyzstan,Kyr,3700,0.53,0.07,0.9,0.624,C.W. OF IND. STATES ,41.20438,74.766098,No
41,Latvia,Lat,27300,0.18,0.94,19,0.441,BALTICS                            ,56.879635,24.603189,Yes
42,Luxembourg,Lux,109100,0,1.16,15.3,0.22458,WESTERN EUROPE                     ,49.815273,6.129583,Yes
43,Macedonia,Mac,15200,0.91,0.63,24.1,0.432,EASTERN EUROPE                     ,41.6086,21.7453,No
44,Mexico,Mex,19500,6.34,0.44,15,0.434,LATIN AMER. & CARIB    ,23.634501,-102.552784,No
45,Moldova,Mol,5700,0.45,0.42,7.1,0.401,C.W. OF IND. STATES ,47.411631,28.369885,No
