Country,GDP,Homicides,Suicides,Cultural Diversity Index
Argentina,"20,700",2.58 (2012),1.57,0
Australia,"49,900",0.16,0.76,0.147
Austria,"49,200",0.1,2.43,0.1
Azerbaijan,"17,400",0.27 (2010),0.01 (2007),0.187
Barbados,"17,500",3.12 (2013),?,
Belarus,"18,600",0.14 (2009),?,0.228
Belgium,"46,300",0.33,1.33,0.462
Bolivia,"7,500",0.74 (2010),?,0.662
Brazil,"15,500",19.99,0.45,0.02
Bulgaria,"21,600",0.34,0.97,0.25
Canada,"48,100",0.38 (2013),1.52 (2011),0.499
Chile,"24,600",1.02 (2011),0.81 (2009),0.167
China,"16,600",?,?,0.154
Colombia,"4,000",23.93 (2013),0.87 (2009),0.02
Costa Rica,"17,200",5.92 (2013),1.27 (2002),0.078
Croatia,"24,100",0.4,2.37,0.185
Cuba,"11,900",0.20 (2013),0.3,0.02
Cyprus,"36,600",1.05 (2012),0.58 (2011),0.359
Czech Republic,"35,200",0.15,1.66,0.064
Denmark,"49,600",0.22,1.09,0.128
El Salvador,"8,900",26.49 (2013),0.13 (2009),0.18
Estonia,"31,500",0.15,2.11,0.492
Finland,"44,000",0.32 (2012),2.94,0.132
France,"43,600",0.21,2.16,0.251
Georgia,"10,600",0.49 (2010),0.09 (2009),0.404
Germany,"50,200",0.07,0.84,0.09
Greece,"27,800",0.53,0.86,0.05
Guatemala,"8,200",29.62 (2013),0.34 (2009),0.493
Honduras,5500,66.64,0.41,0.167
Hong Kong,"61,000",0.00 (2004),0.03 (1999),unavailable
Hungary,"28,900",0.11 (2012),0.81 (2012),0.185
Iceland,"52,100",0.00 (2012),1.25 (2009),unavailable
India,7200,0.30 (2009),0.14 (2008),0.667
Ireland,"72,600",0.25 (2012),0.28 (2012),0.157
Israel,"36,200",1.04 (2011),0.67 (2011),0.033
Italy,"38,000",0.35 (2010),0.87 (2010),0.04
Jamaica,9200,30.38 (2013),0.34 (1995),0.027
Japan,"42,700",0.00 (2008),0.04 (1999),0.012
Kuwait,"69,700",0.36 (1995),0.00 (1999),0.54
Kyrgyzstan,3700,0.53 (2010),0.07 (2010),0.624
Latvia,27300,0.18 (2010),0.94 (2010),0.441
Luxembourg,"109,100",0.00 (2011),1.16 (2011),unavailable
Macedonia,15200,0.91 (2011),0.63 (2010),0.432
Mexico,"19,500",6.34 (2015),0.44 (2014),0.434
Moldova,"5,700",0.45 (2011),0.42 (2011),0.401
Montenegro,,2.42 (2011),6.49 (2009),unavailable
Netherlands,"53,600",0.29 (2011),0.28 (2011),0.077
New Zealand,"38,500",0.11 (2014),0.84 (2011),0.363
Nicaragua,,3.72 (2012),0.34 (2010),0.095
Norway,"70,600",0.10 (2012),1.63 (2012),0.098
Panama,,14.36 (2013),0.57 (2009),0.168
Paraguay,,5.78 (2013),1.16 (2009),0.039
Peru,,4.22 (2013),0.07 (2009),0.506
Philippines,,8.90 (2003),?,0.116
Poland,"29,300",0.04 (2011),0.09 (2011),0.041
Portugal,"30,300",0.42 (2012),1.01 (2011),0.04
Qatar,"124,900",0.15 (2004),?,unavailable
Romania,,0.04 (2012),0.06 (2011),0.265
Serbia,,0.61 (2012),2.49 (2012),
Singapore,"90,500",0.02 (2006),0.12 (1998),0.388
Slovakia,"32,900",0.26 (2012),0.94 (2010),0.293
Slovenia,"34,100",0.20 (2012),2.34 (2010),0.17
South Africa,,8.2 (2010),0.1 (2010),0.53
South Korea,"39,400",0.02 (2011),0.04 (2002),0.004
Spain,"38,200",0.15 (2010),0.42 (2010),0.263
Swaziland,,37.16 (2004),?,0.143
Sweden,"51,300",0.19 (2010),1.20 (2010),0.189
Switzerland,"61,400",0.21 (2015),2.74 (2013),0.418
Taiwan,"49,800",0.60 (2008),0.12 (1994),0.169
Turkey,,1.03 (2016),0.81 (2013),0.299
Ukraine,,0.24 (2009),?,unavailable
United Kingdom,"43,600",0.06 (2011),0.15 (2011),0.184
United States,"59,500",3.5 (2014),6.69 (2014),0.271
Uruguay,,4.78 (2013),4.68 (2009),0
Venezuela,,39.00 (2009),0.48 (2007),0.02
Zimbabwe,,0.3 (2007),0.09 (1995),0.141
