"Country","GDP","Homicides","Suicides","Guns_Per_Capita","Cultural_Diversity_Index","Latitude","Longitude","developed_nation"
"Argentina",20700,2.58,1.57,4.6,0,-38.42,-63.62,TRUE
"Australia",49900,0.16,0.76,24.1,0.147,-25.27,133.78,TRUE
"Austria",49200,0.1,2.43,30.4,0.1,47.52,14.55,TRUE
"Azerbaijan",17400,0.27,0.01,3.5,0.187,40.14,47.58,FALSE
"Barbados",17500,3.12,0.785,7.8,0.1695,13.19,-59.54,FALSE
"Belarus",18600,0.14,0.785,7.3,0.228,53.71,27.95,FALSE
"Belgium",46300,0.33,1.33,1.33,0.462,50.5,4.47,TRUE
"Bolivia",7500,0.74,0.785,2.8,0.662,-16.29,-63.59,FALSE
"Brazil",15500,19.99,0.45,8,0.02,-14.24,-51.93,FALSE
"Bulgaria",21600,0.34,0.97,6.2,0.25,42.73,25.49,TRUE
"Canada",48100,0.38,1.52,30.8,0.499,56.13,-106.35,TRUE
"Chile",24600,1.02,0.81,10.7,0.167,-35.68,-71.54,TRUE
"China",16600,0.35,0.785,4.9,0.154,35.86,104.2,FALSE
"Colombia",4000,23.93,0.87,5.9,0.02,4.57,-74.3,FALSE
"Costa Rica",17200,5.92,1.27,9.9,0.078,9.75,-83.75,FALSE
"Croatia",24100,0.4,2.37,21.7,0.185,45.1,15.2,TRUE
"Cuba",11900,0.2,0.3,4.8,0.02,21.52,-77.78,FALSE
"Cyprus",36600,1.05,0.58,36.4,0.359,35.13,33.43,TRUE
"Czech Republic",35200,0.15,1.66,16.3,0.064,49.82,15.47,TRUE
"Denmark",49600,0.22,1.09,12,0.128,56.26,9.5,TRUE
"El Salvador",8900,26.49,0.13,5.8,0.18,13.79,-88.9,FALSE
"Estonia",31500,0.15,2.11,9.2,0.492,58.6,25.01,TRUE
"Finland",44000,0.32,2.94,27.3,0.132,61.92,25.75,TRUE
"France",43600,0.21,2.16,31.2,0.251,46.23,2.21,TRUE
"Georgia",10600,0.49,0.09,7.3,0.404,42.32,43.36,FALSE
"Germany",50200,0.07,0.84,30.3,0.09,51.17,10.45,TRUE
"Greece",27800,0.53,0.86,22.5,0.05,39.07,21.82,TRUE
"Guatemala",8200,29.62,0.34,13.1,0.493,15.78,-90.23,FALSE
"Honduras",5500,66.64,0.41,6.2,0.167,15.2,-86.24,FALSE
"Hong Kong",61000,0,0.03,9.9,0.1695,22.4,114.11,TRUE
"Hungary",28900,0.11,0.81,5.5,0.185,47.16,19.5,TRUE
"Iceland",52100,0,1.25,30.3,0.1695,64.96,-19.02,TRUE
"India",7200,0.3,0.14,4.2,0.667,20.59,78.96,FALSE
"Ireland",72600,0.25,0.28,4.3,0.157,53.41,-8.24,TRUE
"Israel",36200,1.04,0.67,7.3,0.033,31.05,34.85,TRUE
"Italy",38000,0.35,0.87,11.9,0.04,41.87,12.57,TRUE
"Jamaica",9200,30.38,0.34,8.1,0.027,18.11,-77.3,FALSE
"Japan",42700,0,0.04,0.6,0.012,36.2,138.25,TRUE
"Kuwait",69700,0.36,0,24.8,0.54,29.31,47.48,TRUE
"Kyrgyzstan",3700,0.53,0.07,0.9,0.624,41.2,74.77,FALSE
"Latvia",27300,0.18,0.94,19,0.441,56.88,24.6,TRUE
"Luxembourg",109100,0,1.16,15.3,0.1695,49.82,6.13,TRUE
"Macedonia",15200,0.91,0.63,9.9,0.432,41.61,21.75,FALSE
"Mexico",19500,6.34,0.44,15,0.434,23.63,-102.55,FALSE
"Moldova",5700,0.45,0.42,7.1,0.401,47.41,28.37,FALSE
"Montenegro",17400,2.42,6.49,23.1,0.1695,42.71,19.37,FALSE
"Netherlands",53600,0.29,0.28,3.9,0.077,52.13,5.29,TRUE
"New Zealand",38500,0.11,0.84,22.6,0.363,-40.9,174.89,TRUE
"Nicaragua",5800,3.72,0.34,7.7,0.095,12.87,-85.21,FALSE
"Norway",70600,0.1,1.63,31.3,0.098,60.47,8.47,TRUE
"Panama",0,14.36,0.57,21.7,0.168,8.54,-80.78,FALSE
"Paraguay",9800,5.78,1.16,17,0.039,-23.44,-58.44,FALSE
"Peru",13300,4.22,0.07,18.8,0.506,-9.19,-75.02,FALSE
"Philippines",8200,8.9,0.785,4.7,0.116,12.88,121.77,FALSE
"Poland",29300,0.04,0.09,1.3,0.041,51.92,19.15,TRUE
"Portugal",30300,0.42,1.01,8.5,0.04,39.4,-8.22,TRUE
"Qatar",124900,0.15,0.785,19.2,0.1695,25.35,51.18,TRUE
"Romania",24000,0.04,0.06,0.7,0.265,45.94,24.97,TRUE
"Serbia",15200,0.61,2.49,58.21,0.1695,44.02,21.01,FALSE
"Singapore",90500,0.02,0.12,0.5,0.388,1.35,103.82,TRUE
"Slovakia",32900,0.26,0.94,8.3,0.293,48.67,19.7,TRUE
"Slovenia",34100,0.2,2.34,13.5,0.17,46.15,15,TRUE
"South Africa",13400,8.2,0.1,12.7,0.53,-30.56,22.94,FALSE
"South Korea",39400,0.02,0.04,1.1,0.004,35.91,127.77,TRUE
"Spain",38200,0.15,0.42,10.4,0.263,40.46,-3.75,TRUE
"Swaziland",9900,37.16,0.785,6.4,0.143,-26.52,31.47,FALSE
"Sweden",51300,0.19,1.2,21,0.189,60.13,18.64,TRUE
"Switzerland",61400,0.21,2.74,24.45,0.418,46.82,8.23,TRUE
"Taiwan",49800,0.6,0.12,9.9,0.169,23.7,120.96,TRUE
"Turkey",26500,1.03,0.81,12.5,0.299,38.96,35.24,TRUE
"Ukraine",8700,0.24,0.785,6.6,0.1695,48.38,31.17,FALSE
"United Kingdom",43600,0.06,0.15,6.2,0.184,55.38,-3.44,TRUE
"United States",59500,3.5,6.69,101,0.271,37.09,-95.71,TRUE
"Uruguay",22400,4.78,4.68,31.8,0,-32.52,-55.77,TRUE
"Venezuela",12400,39,0.48,10.7,0.02,6.42,-66.59,FALSE
"Zimbabwe",2300,0.3,0.09,4.6,0.141,-19.02,29.15,FALSE
