Country Name,Country Code,2016
Aruba,ABW,
Afghanistan,AFG,580
Angola,AGO,3450
Albania,ALB,4180
Andorra,AND,
Arab World,ARB,6583.88537
United Arab Emirates,ARE,40480
Argentina,ARG,11970
Armenia,ARM,3770
American Samoa,ASM,
Antigua and Barbuda,ATG,13560
Australia,AUS,54230
Austria,AUT,45870
Azerbaijan,AZE,4760
Burundi,BDI,280
Belgium,BEL,41860
Benin,BEN,820
Burkina Faso,BFA,620
Bangladesh,BGD,1330
Bulgaria,BGR,7580
Bahrain,BHR,
"Bahamas, The",BHS,26490
Bosnia and Herzegovina,BIH,4940
Belarus,BLR,5600
Belize,BLZ,4360
Bermuda,BMU,
Bolivia,BOL,3070
Brazil,BRA,8840
Barbados,BRB,15210
Brunei Darussalam,BRN,32860
Bhutan,BTN,2510
Botswana,BWA,6750
Central African Republic,CAF,370
Canada,CAN,43680
Central Europe and the Baltics,CEB,12735.77848
Switzerland,CHE,81240
Channel Islands,CHI,
Chile,CHL,13540
China,CHN,8250
Cote d'Ivoire,CIV,1520
Cameroon,CMR,1400
"Congo, Dem. Rep.",COD,430
"Congo, Rep.",COG,1710
Colombia,COL,6310
Comoros,COM,770
Cabo Verde,CPV,2970
Costa Rica,CRI,10840
Caribbean small states,CSS,8965.953332
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,24320
Czech Republic,CZE,17530
Germany,DEU,43940
Djibouti,DJI,
Dominica,DMA,7110
Denmark,DNK,57020
Dominican Republic,DOM,6390
Algeria,DZA,4220
East Asia & Pacific (excluding high income),EAP,6666.947559
Early-demographic dividend,EAR,3282.369043
East Asia & Pacific,EAS,9848.468049
Europe & Central Asia (excluding high income),ECA,7694.311646
Europe & Central Asia,ECS,23140.10237
Ecuador,ECU,5800
"Egypt, Arab Rep.",EGY,3410
Euro area,EMU,36085.5509
Eritrea,ERI,
Spain,ESP,27580
Estonia,EST,17760
Ethiopia,ETH,660
European Union,EUU,33291.16377
Fragile and conflict affected situations,FCS,1525.62742
Finland,FIN,45050
Fiji,FJI,4780
France,FRA,38720
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3550
Gabon,GAB,7210
United Kingdom,GBR,42360
Georgia,GEO,3830
Ghana,GHA,1380
Gibraltar,GIB,
Guinea,GIN,670
"Gambia, The",GMB,430
Guinea-Bissau,GNB,600
Equatorial Guinea,GNQ,7180
Greece,GRC,19050
Grenada,GRD,9100
Greenland,GRL,
Guatemala,GTM,3790
Guam,GUM,
Guyana,GUY,4240
High income,HIC,41150.12164
"Hong Kong SAR, China",HKG,42940
Honduras,HND,2150
Heavily indebted poor countries (HIPC),HPC,856.0172588
Croatia,HRV,12130
Haiti,HTI,780
Hungary,HUN,12570
IBRD only,IBD,5621.595689
IDA & IBRD total,IBT,4536.655815
IDA total,IDA,1305.242959
IDA blend,IDB,1893.410761
Indonesia,IDN,3400
IDA only,IDX,1003.482134
Isle of Man,IMN,
India,IND,1670
Not classified,INX,
Ireland,IRL,52010
"Iran, Islamic Rep.",IRN,5470
Iraq,IRQ,5420
Iceland,ISL,56790
Israel,ISR,
Italy,ITA,31720
Jamaica,JAM,4630
Jordan,JOR,3920
Japan,JPN,37930
Kazakhstan,KAZ,8810
Kenya,KEN,1380
Kyrgyz Republic,KGZ,1100
Cambodia,KHM,1140
Kiribati,KIR,2270
St. Kitts and Nevis,KNA,15690
"Korea, Rep.",KOR,27600
Kuwait,KWT,34890
Latin America & Caribbean (excluding high income),LAC,7955.474264
Lao PDR,LAO,2150
Lebanon,LBN,7980
Liberia,LBR,370
Libya,LBY,
St. Lucia,LCA,8400
Latin America & Caribbean,LCN,8272.30078
Least developed countries: UN classification,LDC,953.2684518
Low income,LIC,614.1411572
Liechtenstein,LIE,
Sri Lanka,LKA,3850
Lower middle income,LMC,2077.698549
Low & middle income,LMY,4440.715266
Lesotho,LSO,1270
Late-demographic dividend,LTE,8328.767361
Lithuania,LTU,14770
Luxembourg,LUX,71590
Latvia,LVA,14570
"Macao SAR, China",MAC,65130
St. Martin (French part),MAF,
Morocco,MAR,2880
Monaco,MCO,
Moldova,MDA,2120
Madagascar,MDG,400
Maldives,MDV,10380
Middle East & North Africa,MEA,7576.247146
Mexico,MEX,9040
Marshall Islands,MHL,4630
Middle income,MIC,4891.348832
"Macedonia, FYR",MKD,4980
Mali,MLI,770
Malta,MLT,24190
Myanmar,MMR,1190
Middle East & North Africa (excluding high income),MNA,4042.25943
Montenegro,MNE,7120
Mongolia,MNG,3590
Northern Mariana Islands,MNP,
Mozambique,MOZ,480
Mauritania,MRT,1130
Mauritius,MUS,9770
Malawi,MWI,320
Malaysia,MYS,9860
North America,NAC,55496.99593
Namibia,NAM,4640
New Caledonia,NCL,
Niger,NER,
Nigeria,NGA,2450
Nicaragua,NIC,2100
Netherlands,NLD,46610
Norway,NOR,82390
Nepal,NPL,730
Nauru,NRU,10750
New Zealand,NZL,38740
OECD members,OED,37201.8814
Oman,OMN,
Other small states,OSS,
Pakistan,PAK,1500
Panama,PAN,12140
Peru,PER,5950
Philippines,PHL,3580
Palau,PLW,12330
Papua New Guinea,PNG,2680
Poland,POL,12680
Pre-demographic dividend,PRE,1472.149631
Puerto Rico,PRI,19430
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,19880
Paraguay,PRY,4060
West Bank and Gaza,PSE,3230
Pacific island small states,PSS,3697.998736
Post-demographic dividend,PST,41368.87689
French Polynesia,PYF,
Qatar,QAT,
Romania,ROU,9480
Russian Federation,RUS,9720
Rwanda,RWA,700
South Asia,SAS,1611.134016
Saudi Arabia,SAU,21720
Sudan,SDN,2140
Senegal,SEN,950
Singapore,SGP,51880
Solomon Islands,SLB,1880
Sierra Leone,SLE,490
El Salvador,SLV,3920
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,5310
Sub-Saharan Africa (excluding high income),SSA,1515.080363
South Sudan,SSD,
Sub-Saharan Africa,SSF,1516.35434
Small states,SST,
Sao Tome and Principe,STP,1720
Suriname,SUR,6990
Slovak Republic,SVK,16800
Slovenia,SVN,21620
Sweden,SWE,54480
Swaziland,SWZ,2960
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15410
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,720
East Asia & Pacific (IDA & IBRD countries),TEA,6737.643471
Europe & Central Asia (IDA & IBRD countries),TEC,8109.896037
Togo,TGO,540
Thailand,THA,5640
Tajikistan,TJK,1110
Turkmenistan,TKM,6670
Latin America & the Caribbean (IDA & IBRD countries),TLA,8224.61399
Timor-Leste,TLS,2060
Middle East & North Africa (IDA & IBRD countries),TMN,4051.453665
Tonga,TON,4060
South Asia (IDA & IBRD),TSA,1611.134016
Sub-Saharan Africa (IDA & IBRD countries),TSS,1516.35434
Trinidad and Tobago,TTO,16240
Tunisia,TUN,3690
Turkey,TUR,11230
Tuvalu,TUV,5090
Tanzania,TZA,900
Uganda,UGA,630
Ukraine,UKR,2310
Upper middle income,UMC,8176.340231
Uruguay,URY,15230
United States,USA,56810
Uzbekistan,UZB,2220
St. Vincent and the Grenadines,VCT,6770
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2060
Vanuatu,VUT,
World,WLD,10307.62124
Samoa,WSM,4120
Kosovo,XKX,3850
"Yemen, Rep.",YEM,1040
South Africa,ZAF,5480
Zambia,ZMB,1360
Zimbabwe,ZWE,890
