"Id","Country","CountryCode","GDP","Homicides","Suicides","Guns_Per_Capita","Cultural_Diversity_Index","Latitude","Longitude","developed_nation"
1,"Argentina","Arg",20700,2.58,1.57,4.6,0,-38.42,-63.62,TRUE
2,"Australia","Aus",49900,0.16,0.76,24.1,0.147,-25.27,133.78,TRUE
3,"Austria","Aus",49200,0.1,2.43,30.4,0.1,47.52,14.55,TRUE
4,"Azerbaijan","Aze",17400,0.27,0.01,3.5,0.187,40.14,47.58,FALSE
5,"Barbados","Bar",17500,3.12,0.785,7.8,0.1695,13.19,-59.54,FALSE
6,"Belarus","Bel",18600,0.14,0.785,7.3,0.228,53.71,27.95,FALSE
7,"Belgium","Bel",46300,0.33,1.33,1.33,0.462,50.5,4.47,TRUE
8,"Bolivia","Bol",7500,0.74,0.785,2.8,0.662,-16.29,-63.59,FALSE
9,"Brazil","Bra",15500,19.99,0.45,8,0.02,-14.24,-51.93,FALSE
10,"Bulgaria","Bul",21600,0.34,0.97,6.2,0.25,42.73,25.49,TRUE
11,"Canada","Can",48100,0.38,1.52,30.8,0.499,56.13,-106.35,TRUE
12,"Chile","Chi",24600,1.02,0.81,10.7,0.167,-35.68,-71.54,TRUE
13,"China","chn",16600,0.35,0.785,4.9,0.154,35.86,104.2,FALSE
14,"Colombia","Col",4000,23.93,0.87,5.9,0.02,4.57,-74.3,FALSE
15,"Costa Rica","Cos",17200,5.92,1.27,9.9,0.078,9.75,-83.75,FALSE
16,"Croatia","Cro",24100,0.4,2.37,21.7,0.185,45.1,15.2,TRUE
17,"Cuba","Cub",11900,0.2,0.3,4.8,0.02,21.52,-77.78,FALSE
18,"Cyprus","Cyp",36600,1.05,0.58,36.4,0.359,35.13,33.43,TRUE
19,"Czech Republic","Cze",35200,0.15,1.66,16.3,0.064,49.82,15.47,TRUE
20,"Denmark","Den",49600,0.22,1.09,12,0.128,56.26,9.5,TRUE
21,"El Salvador","El",8900,26.49,0.13,5.8,0.18,13.79,-88.9,FALSE
22,"Estonia","Est",31500,0.15,2.11,9.2,0.492,58.6,25.01,TRUE
23,"Finland","Fin",44000,0.32,2.94,27.3,0.132,61.92,25.75,TRUE
24,"France","Fra",43600,0.21,2.16,31.2,0.251,46.23,2.21,TRUE
25,"Georgia","Geo",10600,0.49,0.09,7.3,0.404,42.32,43.36,FALSE
26,"Germany","Ger",50200,0.07,0.84,30.3,0.09,51.17,10.45,TRUE
