Code,Rank by gun ownership,Country,Guns per 100,Suicide per 100k,GDP,Homicide per 100k,latitude,longitude,Developed
LUX,40,Luxembourg,15.3,11.1,107708.217,0.72,49.815273,6.129583,yes
CHE,18,Switzerland,24.45,15.1,80836.658,0.69,46.818188,8.227512,yes
NOR,8,Norway,31.3,10.9,73615.153,0.56,60.472024,8.468946,yes
ISL,12,Iceland,30.3,13.1,73092.204,0.91,64.963051,-19.020835,yes
IRL,106,Ireland,4.3,11.7,68604.375,0.64,53.41291,-8.24389,yes
QAT,30,Qatar,19.2,6.4,60811.857,8.1,25.354826,51.183884,yes
USA,1,United States,101,14.3,59495.336,4.88,37.09024,-95.712891,yes
DNK,52,Denmark,12,12.3,56334.61,0.99,56.26392,9.501785,yes
AUS,20,Australia,24.1,11.8,56135.416,0.98,-25.274398,133.775136,yes
SGP,170,Singapore,0.5,9.9,53880.128,0.25,1.352083,103.819836,yes
SWE,27,Sweden,21,15.4,53248.143,1.15,60.128161,18.643501,yes
NLD,109,Netherlands,3.9,11.9,48271.668,0.61,52.132633,5.291266,yes
AUT,11,Austria,30.4,16.4,46435.925,0.51,47.516231,14.550072,yes
FIN,14,Finland,27.3,16.3,45692.892,1.6,61.92411,25.748151,yes
CAN,10,Canada,30.8,12.3,44773.26,1.68,56.130366,-106.346771,yes
DEU,13,Germany,30.3,13.4,44184.445,0.85,51.165691,10.451526,yes
BEL,35,Belgium,17.2,20.5,43243.304,1.95,50.503887,4.469936,yes
NZL,22,New Zealand,22.6,12.6,41629.329,0.91,-40.900557,174.885971,yes
ISR,79,Israel,7.3,5.5,39974.34,1.36,31.046051,34.851612,yes
FRA,9,France,31.2,16.9,39673.138,1.58,46.227638,2.213749,yes
GBR,82,United Kingdom,6.2,8.5,38846.794,0.92,55.378051,-3.435973,yes
JPN,162, Japan,0.6,19.7,38550.089,0.31,36.204824,138.252924,yes
ARE,24,United Arab Emirates,22.1,2.9,37346.114,0.66,23.424076,53.847818,yes
ITA,53,Italy,11.9,7.9,31618.678,0.78,41.87194,12.56738,yes
KOR,148,South Korea,1.1,28.3,29730.204,0.74,35.907757,127.766922,yes
ESP,59,Spain,10.4,8.5,28212.461,0.66,40.463667,-3.74922,yes
BRN,135,Brunei,1.4,1.3,27893.449,0.49,4.535277,114.727669,yes
MLT,54,Malta,11.9,6,27567.366,0.96,35.937496,14.375416,yes
KWT,17,Kuwait,24.8,4,27236.747,1.78,29.31166,47.481766,yes
BHR,16,Bahrain,24.8,6.5,25169.551,0.54,25.930414,50.637772,yes
CYP,4,Cyprus,36.4,4.7,24740.962,1.29,35.126413,33.429859,yes
BHS,94,Bahamas,5.3,1.8,24510.649,29.81,25.03428,-77.39628,yes
SVN,45,Slovenia,13.5,21.4,23276.502,1.21,46.151241,14.995463,yes
